Pos;technique;readLineIndent;diff;diff_ad_hoc;correct;answer;isCorrect;time;ParticipantNr;KindParticipant;ParticipantID;years_experience;exp_Quantil
1;non_indented;6;0;2;9;9;1;4699;1;PhDStudent;ps1;5;3
2;non_indented;4;2;4;4;4;1;7911;1;PhDStudent;ps1;5;3
3;indented;4;0;0;7;7;1;2691;1;PhDStudent;ps1;5;3
4;non_indented;6;4;6;3;4;0;6235;1;PhDStudent;ps1;5;3
5;non_indented;6;2;5;9;9;1;11311;1;PhDStudent;ps1;5;3
6;non_indented;4;0;1;5;5;1;3472;1;PhDStudent;ps1;5;3
7;non_indented;4;0;0;6;6;1;2334;1;PhDStudent;ps1;5;3
8;non_indented;4;2;4;2;2;1;8361;1;PhDStudent;ps1;5;3
9;non_indented;4;4;5;8;8;1;9372;1;PhDStudent;ps1;5;3
10;non_indented;6;4;6;6;5;0;10610;1;PhDStudent;ps1;5;3
11;non_indented;8;2;6;6;6;1;10457;1;PhDStudent;ps1;5;3
12;indented;4;2;4;3;3;1;2956;1;PhDStudent;ps1;5;3
13;indented;6;0;1;5;5;1;3567;1;PhDStudent;ps1;5;3
14;non_indented;8;4;6;4;4;1;11980;1;PhDStudent;ps1;5;3
15;non_indented;8;0;3;6;6;1;8455;1;PhDStudent;ps1;5;3
16;indented;6;2;4;4;4;1;3950;1;PhDStudent;ps1;5;3
17;indented;6;0;1;2;2;1;3904;1;PhDStudent;ps1;5;3
18;indented;4;4;5;6;6;1;4041;1;PhDStudent;ps1;5;3
19;non_indented;8;0;2;6;6;1;5382;1;PhDStudent;ps1;5;3
20;indented;4;2;4;1;1;1;3057;1;PhDStudent;ps1;5;3
21;indented;8;4;7;3;3;1;7195;1;PhDStudent;ps1;5;3
22;indented;6;4;6;4;4;1;5068;1;PhDStudent;ps1;5;3
23;indented;4;2;4;1;1;1;2921;1;PhDStudent;ps1;5;3
24;non_indented;4;4;5;3;1;0;16908;1;PhDStudent;ps1;5;3
25;indented;6;4;6;6;6;1;5421;1;PhDStudent;ps1;5;3
26;non_indented;8;0;3;7;4;0;8126;1;PhDStudent;ps1;5;3
27;non_indented;6;4;6;9;9;1;8885;1;PhDStudent;ps1;5;3
28;indented;6;2;5;4;4;1;4464;1;PhDStudent;ps1;5;3
29;non_indented;6;4;5;9;9;1;8398;1;PhDStudent;ps1;5;3
30;indented;6;0;2;8;8;1;6626;1;PhDStudent;ps1;5;3
31;non_indented;8;2;5;7;7;1;8602;1;PhDStudent;ps1;5;3
32;non_indented;4;0;1;7;7;1;8323;1;PhDStudent;ps1;5;3
33;indented;8;2;6;7;7;1;5652;1;PhDStudent;ps1;5;3
34;non_indented;4;2;4;9;9;1;18415;1;PhDStudent;ps1;5;3
35;indented;4;0;0;2;2;1;2734;1;PhDStudent;ps1;5;3
36;non_indented;6;0;1;2;2;1;4942;1;PhDStudent;ps1;5;3
37;non_indented;6;2;5;9;3;0;7476;1;PhDStudent;ps1;5;3
38;non_indented;8;4;9;8;8;1;14183;1;PhDStudent;ps1;5;3
39;indented;8;2;6;1;1;1;5929;1;PhDStudent;ps1;5;3
40;non_indented;6;2;4;3;3;1;9094;1;PhDStudent;ps1;5;3
41;indented;8;0;2;5;5;1;5128;1;PhDStudent;ps1;5;3
42;indented;8;2;5;9;9;1;9767;1;PhDStudent;ps1;5;3
43;non_indented;8;4;7;2;5;0;29128;1;PhDStudent;ps1;5;3
44;indented;8;4;7;7;7;1;8887;1;PhDStudent;ps1;5;3
45;non_indented;8;2;6;8;8;1;10717;1;PhDStudent;ps1;5;3
46;non_indented;8;0;2;1;1;1;7607;1;PhDStudent;ps1;5;3
47;indented;4;4;5;3;3;1;4104;1;PhDStudent;ps1;5;3
48;indented;6;4;5;4;4;1;3319;1;PhDStudent;ps1;5;3
49;indented;8;0;1;9;9;1;5505;1;PhDStudent;ps1;5;3
50;indented;6;0;2;2;2;1;4905;1;PhDStudent;ps1;5;3
51;non_indented;4;0;1;6;6;1;4558;1;PhDStudent;ps1;5;3
52;non_indented;6;0;2;4;4;1;4858;1;PhDStudent;ps1;5;3
53;indented;4;0;0;2;2;1;2387;1;PhDStudent;ps1;5;3
54;indented;8;4;9;5;5;1;7992;1;PhDStudent;ps1;5;3
55;non_indented;4;2;4;6;6;1;5975;1;PhDStudent;ps1;5;3
56;indented;8;4;7;9;9;1;6791;1;PhDStudent;ps1;5;3
57;indented;4;4;5;8;8;1;5689;1;PhDStudent;ps1;5;3
58;non_indented;8;0;2;6;6;1;4589;1;PhDStudent;ps1;5;3
59;indented;6;4;6;3;3;1;4107;1;PhDStudent;ps1;5;3
60;indented;6;4;6;8;8;1;4520;1;PhDStudent;ps1;5;3
61;non_indented;8;4;6;3;9;0;7061;1;PhDStudent;ps1;5;3
62;indented;4;2;4;9;9;1;2502;1;PhDStudent;ps1;5;3
63;indented;6;2;4;1;1;1;4811;1;PhDStudent;ps1;5;3
64;indented;4;4;5;3;3;1;2303;1;PhDStudent;ps1;5;3
65;non_indented;8;2;5;7;7;1;9372;1;PhDStudent;ps1;5;3
66;indented;6;0;1;6;6;1;3644;1;PhDStudent;ps1;5;3
