Age;Status;Studies;YearsOfExperience;impression;Format;AnswerPosition;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds
undefined;undefined;undefined;undefined;undefined;MultiLine;3;1;1;1;true;2109
undefined;undefined;undefined;undefined;undefined;OneLine;2;1;1;1;true;1107
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;1;true;956
undefined;undefined;undefined;undefined;undefined;OneLine;5;1;1;1;true;2265
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;1;true;899
undefined;undefined;undefined;undefined;undefined;MultiLine;2;1;1;1;true;1935
undefined;undefined;undefined;undefined;undefined;MultiLine;3;1;1;1;true;2039
undefined;undefined;undefined;undefined;undefined;MultiLine;2;1;1;1;true;2313
undefined;undefined;undefined;undefined;undefined;MultiLine;4;1;1;1;true;2377
undefined;undefined;undefined;undefined;undefined;OneLine;3;1;1;1;true;1929
undefined;undefined;undefined;undefined;undefined;OneLine;2;1;1;1;true;1444
undefined;undefined;undefined;undefined;undefined;OneLine;4;1;1;1;true;2155
undefined;undefined;undefined;undefined;undefined;OneLine;3;1;1;1;true;1270
undefined;undefined;undefined;undefined;undefined;OneLine;5;1;1;1;true;2529
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;1;true;810
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;1;true;598
undefined;undefined;undefined;undefined;undefined;OneLine;4;1;1;1;true;1891
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;1;true;967
undefined;undefined;undefined;undefined;undefined;OneLine;5;1;1;1;true;2064
undefined;undefined;undefined;undefined;undefined;OneLine;2;1;1;1;true;948
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;1;true;712
undefined;undefined;undefined;undefined;undefined;MultiLine;5;1;1;1;true;2588
undefined;undefined;undefined;undefined;undefined;MultiLine;4;1;1;1;true;1630
undefined;undefined;undefined;undefined;undefined;OneLine;2;1;1;1;true;1512
undefined;undefined;undefined;undefined;undefined;MultiLine;2;1;1;1;true;1445
undefined;undefined;undefined;undefined;undefined;OneLine;4;1;1;1;true;1377
undefined;undefined;undefined;undefined;undefined;MultiLine;3;1;1;1;true;1323
undefined;undefined;undefined;undefined;undefined;OneLine;5;1;1;1;true;1282
undefined;undefined;undefined;undefined;undefined;MultiLine;4;1;1;1;true;1354
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;1;true;959
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;1;true;525
undefined;undefined;undefined;undefined;undefined;OneLine;5;1;1;1;true;2217
undefined;undefined;undefined;undefined;undefined;MultiLine;5;1;1;1;true;2242
undefined;undefined;undefined;undefined;undefined;OneLine;5;1;1;1;true;2260
undefined;undefined;undefined;undefined;undefined;MultiLine;2;1;1;1;true;1427
undefined;undefined;undefined;undefined;undefined;MultiLine;3;1;1;1;true;1014
undefined;undefined;undefined;undefined;undefined;OneLine;2;1;1;1;true;1015
undefined;undefined;undefined;undefined;undefined;OneLine;2;1;1;1;true;908
undefined;undefined;undefined;undefined;undefined;OneLine;3;1;1;1;true;1982
undefined;undefined;undefined;undefined;undefined;OneLine;2;1;1;1;true;612
undefined;undefined;undefined;undefined;undefined;MultiLine;4;1;1;1;true;2003
undefined;undefined;undefined;undefined;undefined;OneLine;2;1;1;1;true;731
undefined;undefined;undefined;undefined;undefined;MultiLine;4;1;1;1;true;1379
undefined;undefined;undefined;undefined;undefined;OneLine;3;1;1;1;true;1432
undefined;undefined;undefined;undefined;undefined;MultiLine;4;1;1;1;true;1527
undefined;undefined;undefined;undefined;undefined;OneLine;3;1;1;1;true;2207
undefined;undefined;undefined;undefined;undefined;MultiLine;5;1;1;1;true;2490
undefined;undefined;undefined;undefined;undefined;OneLine;5;1;1;1;true;2501
undefined;undefined;undefined;undefined;undefined;MultiLine;4;1;1;1;true;2012
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;1;true;1049
undefined;undefined;undefined;undefined;undefined;MultiLine;2;1;1;1;true;988
undefined;undefined;undefined;undefined;undefined;MultiLine;5;1;1;1;true;1418
undefined;undefined;undefined;undefined;undefined;OneLine;3;1;1;1;true;1167
undefined;undefined;undefined;undefined;undefined;OneLine;4;1;1;1;true;2109
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;1;true;661
undefined;undefined;undefined;undefined;undefined;OneLine;3;1;1;1;true;1589
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;1;true;733
undefined;undefined;undefined;undefined;undefined;MultiLine;2;1;1;1;true;1225
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;1;true;684
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;1;true;858
undefined;undefined;undefined;undefined;undefined;MultiLine;5;1;1;1;true;1498
undefined;undefined;undefined;undefined;undefined;MultiLine;3;1;1;1;true;2502
undefined;undefined;undefined;undefined;undefined;MultiLine;5;1;1;1;true;1542
undefined;undefined;undefined;undefined;undefined;MultiLine;3;1;1;1;true;1466
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;1;true;1266
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;1;true;926
undefined;undefined;undefined;undefined;undefined;MultiLine;5;1;1;1;true;2216
undefined;undefined;undefined;undefined;undefined;MultiLine;2;1;1;1;true;1363
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;1;true;2155
undefined;undefined;undefined;undefined;undefined;OneLine;4;1;1;1;true;2376
undefined;undefined;undefined;undefined;undefined;OneLine;4;1;1;1;true;2662
undefined;undefined;undefined;undefined;undefined;OneLine;5;1;1;1;true;1914
undefined;undefined;undefined;undefined;undefined;MultiLine;3;1;1;1;true;1499
undefined;undefined;undefined;undefined;undefined;MultiLine;2;1;1;1;true;1412
undefined;undefined;undefined;undefined;undefined;OneLine;3;1;1;1;true;1671
undefined;undefined;undefined;undefined;undefined;MultiLine;4;1;1;1;true;1816
undefined;undefined;undefined;undefined;undefined;MultiLine;3;1;1;1;true;1736
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;1;true;1736
undefined;undefined;undefined;undefined;undefined;MultiLine;3;1;1;1;true;2258
undefined;undefined;undefined;undefined;undefined;OneLine;4;1;1;1;true;1807
undefined;undefined;undefined;undefined;undefined;MultiLine;5;1;1;1;true;1760
undefined;undefined;undefined;undefined;undefined;MultiLine;4;1;1;1;true;1547
undefined;undefined;undefined;undefined;undefined;MultiLine;5;1;1;1;true;2018
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;1;true;614
undefined;undefined;undefined;undefined;undefined;MultiLine;3;1;1;1;true;2848
undefined;undefined;undefined;undefined;undefined;MultiLine;5;1;1;1;true;2088
undefined;undefined;undefined;undefined;undefined;OneLine;3;1;1;1;true;1079
undefined;undefined;undefined;undefined;undefined;OneLine;2;1;1;1;true;2688
undefined;undefined;undefined;undefined;undefined;MultiLine;4;1;1;1;true;1635
undefined;undefined;undefined;undefined;undefined;OneLine;4;1;1;1;true;1702
undefined;undefined;undefined;undefined;undefined;MultiLine;2;1;1;1;true;1981
undefined;undefined;undefined;undefined;undefined;OneLine;3;1;1;1;true;1239
undefined;undefined;undefined;undefined;undefined;OneLine;2;1;1;1;true;2053
undefined;undefined;undefined;undefined;undefined;OneLine;5;1;1;1;true;2253
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;1;true;701
undefined;undefined;undefined;undefined;undefined;OneLine;4;1;1;1;true;1812
undefined;undefined;undefined;undefined;undefined;OneLine;4;1;1;1;true;1896
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;1;true;989
undefined;undefined;undefined;undefined;undefined;OneLine;5;1;1;1;true;1876
undefined;undefined;undefined;undefined;undefined;MultiLine;2;1;1;1;true;1782
