Age;Status;Studies;YearsOfExperience;impression;Format;TermsPerAnd;AnswerPosition;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds
undefined;undefined;undefined;undefined;undefined;MultiLine;1;4;1;4;1;false;1428
undefined;undefined;undefined;undefined;undefined;MultiLine;2;4;1;4;1;false;2851
undefined;undefined;undefined;undefined;undefined;MultiLine;1;2;1;2;1;false;1410
undefined;undefined;undefined;undefined;undefined;OneLine;2;2;1;2;1;false;1127
undefined;undefined;undefined;undefined;undefined;MultiLine;2;3;1;3;1;false;1739
undefined;undefined;undefined;undefined;undefined;MultiLine;1;4;1;4;1;false;921
undefined;undefined;undefined;undefined;undefined;OneLine;1;4;1;4;1;false;1200
undefined;undefined;undefined;undefined;undefined;MultiLine;1;2;1;2;1;false;858
undefined;undefined;undefined;undefined;undefined;MultiLine;3;3;1;3;1;false;2032
undefined;undefined;undefined;undefined;undefined;MultiLine;2;3;1;3;1;false;1833
undefined;undefined;undefined;undefined;undefined;OneLine;1;3;1;3;1;false;886
undefined;undefined;undefined;undefined;undefined;MultiLine;2;2;1;2;1;false;1730
undefined;undefined;undefined;undefined;undefined;OneLine;1;5;1;5;1;false;1065
undefined;undefined;undefined;undefined;undefined;OneLine;1;3;1;3;1;false;761
undefined;undefined;undefined;undefined;undefined;OneLine;3;3;1;3;1;false;2619
undefined;undefined;undefined;undefined;undefined;MultiLine;2;2;1;2;1;false;1210
undefined;undefined;undefined;undefined;undefined;MultiLine;3;5;1;5;1;false;2874
undefined;undefined;undefined;undefined;undefined;MultiLine;1;3;1;3;1;false;904
undefined;undefined;undefined;undefined;undefined;OneLine;1;4;1;4;1;false;834
undefined;undefined;undefined;undefined;undefined;MultiLine;2;2;1;2;1;false;1684
undefined;undefined;undefined;undefined;undefined;MultiLine;1;5;1;5;1;false;860
undefined;undefined;undefined;undefined;undefined;MultiLine;3;3;1;3;1;false;1445
undefined;undefined;undefined;undefined;undefined;OneLine;1;5;1;5;1;false;1064
undefined;undefined;undefined;undefined;undefined;OneLine;2;5;1;5;1;false;1785
undefined;undefined;undefined;undefined;undefined;MultiLine;2;3;1;3;1;false;1114
undefined;undefined;undefined;undefined;undefined;OneLine;1;3;1;3;1;false;1094
undefined;undefined;undefined;undefined;undefined;OneLine;3;3;1;3;1;false;1872
undefined;undefined;undefined;undefined;undefined;OneLine;1;2;1;2;1;false;883
undefined;undefined;undefined;undefined;undefined;MultiLine;3;3;1;3;1;false;2017
undefined;undefined;undefined;undefined;undefined;MultiLine;3;3;1;3;1;false;1675
undefined;undefined;undefined;undefined;undefined;OneLine;3;2;1;2;1;false;1547
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;1;1;true;1205
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;1;1;true;611
undefined;undefined;undefined;undefined;undefined;MultiLine;3;4;1;4;1;false;953
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;1;1;true;1758
undefined;undefined;undefined;undefined;undefined;MultiLine;3;4;1;4;1;false;1306
undefined;undefined;undefined;undefined;undefined;OneLine;2;1;1;1;1;true;660
undefined;undefined;undefined;undefined;undefined;MultiLine;1;5;1;5;1;false;923
undefined;undefined;undefined;undefined;undefined;OneLine;2;5;1;5;1;false;2510
undefined;undefined;undefined;undefined;undefined;MultiLine;1;4;1;4;1;false;895
undefined;undefined;undefined;undefined;undefined;MultiLine;1;3;1;3;1;false;817
undefined;undefined;undefined;undefined;undefined;OneLine;2;3;1;3;1;false;1451
undefined;undefined;undefined;undefined;undefined;OneLine;2;4;1;4;1;false;1561
undefined;undefined;undefined;undefined;undefined;MultiLine;2;5;1;5;1;false;2013
undefined;undefined;undefined;undefined;undefined;MultiLine;1;2;1;2;1;false;1244
undefined;undefined;undefined;undefined;undefined;OneLine;3;5;1;5;1;false;2406
undefined;undefined;undefined;undefined;undefined;OneLine;3;1;1;1;1;true;831
undefined;undefined;undefined;undefined;undefined;MultiLine;2;1;1;1;1;true;761
undefined;undefined;undefined;undefined;undefined;OneLine;3;4;1;4;1;false;2424
undefined;undefined;undefined;undefined;undefined;MultiLine;3;1;1;1;1;true;901
undefined;undefined;undefined;undefined;undefined;OneLine;2;3;1;3;1;false;1709
undefined;undefined;undefined;undefined;undefined;OneLine;1;4;1;4;1;false;876
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;1;1;true;635
