person;lang;Type System;z1000t;z0t;z1000mem;stmtL;z1000rel;m1000rel;whours;caps
s018;C;Static;0.017;0.017;22432;380;98.1;96.8;16.1;??
s030;C;Static;0.05;0.033;16968;244;76.47;92.1;4;??
s036;C;Static;20.9;0;11440;188;0;89.5;8.2;??
s066;C;Static;0.75;0.467;2952;237;98.48;100;7.3;??
s078;C;Static;0.05;0.05;22496;302;99.24;98.4;10.9;??
s015;C++;Static;0.05;0.05;24616;374;99.24;100;11.2;??
s020;C++;Static;1.983;0.55;6384;166;98.48;98.4;3;??
s021;C++;Static;4.867;0.017;5312;298;100;98.4;19.1;??
s025;C++;Static;0.083;0.083;28568;150;99.24;98.4;3.5;??
s027;C++;Static;1.533;0;3472;378;98.09;100;25.3;??
s033;C++;Static;0.033;0.033;23336;205;99.24;98.4;10.1;??
s034;C++;Static;21.4;0.033;6864;249;0;1.1;7.5;??
s042;C++;Static;0.033;0.033;22680;243;100;100;11.9;??
s051;C++;Static;0.15;0.033;3448;221;100;98.4;15.2;??
s090;C++;Static;1.667;0.033;4152;511;98.48;100;19.6;??
s096;C++;Static;0.917;0.017;5240;209;100;100;6.9;??
s017;Java;Static;0.633;0.433;41952;509;100;10.2;48.9;??
s023;Java;Static;2.633;0.65;89664;384;7.6;98.4;7.1;??
s037;Java;Static;0.283;0.1;59088;364;100;10.2;13;??
s040;Java;Static;0.317;0.283;56376;212;100;98.4;5;??
s043;Java;Static;2.2;2.017;36136;164;98.85;90.9;8.7;??
s047;Java;Static;6.467;0.117;54872;166;100;10.1;6.2;??
s050;Java;Static;0.2;0.167;58024;186;100;10.2;4.8;??
s053;Java;Static;0.267;0.1;52376;257;99.62;10.2;63.2;??
s054;Java;Static;1.7;0.717;27088;324;100;10.2;13.8;??
s056;Java;Static;0.35;0.067;22328;232;100;100;18.1;??
s057;Java;Static;0.467;0;38104;434;100;10.2;17.8;??
s059;Java;Static;4.15;0.05;40384;147;100;10.2;7.4;??
s060;Java;Static;3.783;0.1;29432;281;98.85;96.3;27.6;??
s062;Java;Static;16.8;0.067;38368;218;100;10.2;3.8;??
s063;Java;Static;1.333;0.45;38672;155;100;100;7.3;??
s065;Java;Static;1.467;0.117;49704;427;100;97.9;39.7;??
s068;Java;Static;31.2;0.05;40584;107;100;10.2;15.1;??
s072;Java;Static;30.1;0.067;52272;365;100;100;7.8;??
s081;Java;Static;0.2;0.15;79544;614;100;10.2;26.6;??
s084;Java;Static;0.15;0.133;65240;338;100;100;9.7;??
s087;Java;Static;0.267;0.083;39896;322;100;100;19.7;??
s093;Java;Static;37.1;0.05;41632;179;100;10.2;9.8;??
s099;Java;Static;0.267;0.217;70696;228;100;98.4;3.8;??
s102;Java;Static;0.167;0.15;51968;130;0.18;6.6;8.2;??
s149101;perl;Dynamic;0.267;0.183;17344;60;99.24;100;1.08;0-10%
s149102;perl;Dynamic;21.4;0.417;73440;62;0;0;1.67;10-25%
s149103;perl;Dynamic;0.083;0.067;25408;49;100;100;1.58;NA
