Age;Status;Studies;YearsOfExperience;impression;Format;Separator;list_length;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds
undefined;undefined;undefined;undefined;undefined;CC;whiteSpace;3;1;1;3;false;4043
undefined;undefined;undefined;undefined;undefined;US;whiteSpace;5;1;1;5;false;3433
undefined;undefined;undefined;undefined;undefined;CC;whiteSpace;5;1;1;5;false;2523
undefined;undefined;undefined;undefined;undefined;CC;newLine;4;1;1;4;false;1780
undefined;undefined;undefined;undefined;undefined;US;newLine;5;1;1;5;false;1840
undefined;undefined;undefined;undefined;undefined;CC;whiteSpace;3;1;1;3;false;940
undefined;undefined;undefined;undefined;undefined;US;newLine;4;1;1;3;false;874
undefined;undefined;undefined;undefined;undefined;CC;newLine;5;1;1;5;false;2153
undefined;undefined;undefined;undefined;undefined;CC;whiteSpace;5;1;1;5;false;2092
undefined;undefined;undefined;undefined;undefined;US;whiteSpace;4;1;1;4;false;1980
undefined;undefined;undefined;undefined;undefined;CC;newLine;5;1;1;5;false;1166
undefined;undefined;undefined;undefined;undefined;CC;whiteSpace;3;1;1;3;false;813
undefined;undefined;undefined;undefined;undefined;CC;whiteSpace;4;1;1;4;false;1028
undefined;undefined;undefined;undefined;undefined;CC;whiteSpace;4;1;1;4;false;1202
undefined;undefined;undefined;undefined;undefined;CC;newLine;3;1;1;3;false;934
undefined;undefined;undefined;undefined;undefined;US;whiteSpace;4;1;1;4;false;2698
undefined;undefined;undefined;undefined;undefined;US;whiteSpace;5;1;1;4;false;2527
undefined;undefined;undefined;undefined;undefined;CC;newLine;4;1;1;4;false;925
undefined;undefined;undefined;undefined;undefined;US;newLine;4;1;1;4;false;968
undefined;undefined;undefined;undefined;undefined;US;newLine;5;1;1;4;false;1016
undefined;undefined;undefined;undefined;undefined;US;newLine;4;1;1;4;false;1023
undefined;undefined;undefined;undefined;undefined;CC;whiteSpace;5;1;1;5;false;1839
undefined;undefined;undefined;undefined;undefined;US;whiteSpace;3;1;1;4;false;2183
undefined;undefined;undefined;undefined;undefined;CC;newLine;4;1;1;4;false;978
undefined;undefined;undefined;undefined;undefined;CC;newLine;3;1;1;3;false;893
undefined;undefined;undefined;undefined;undefined;US;whiteSpace;4;1;1;4;false;1828
undefined;undefined;undefined;undefined;undefined;US;newLine;3;1;1;3;false;659
undefined;undefined;undefined;undefined;undefined;CC;newLine;3;1;1;3;false;520
undefined;undefined;undefined;undefined;undefined;US;newLine;5;1;1;5;false;1109
undefined;undefined;undefined;undefined;undefined;US;whiteSpace;3;1;1;3;false;1113
undefined;undefined;undefined;undefined;undefined;US;newLine;3;1;1;3;false;566
undefined;undefined;undefined;undefined;undefined;US;newLine;3;1;1;3;false;651
undefined;undefined;undefined;undefined;undefined;US;whiteSpace;5;1;1;5;false;2346
undefined;undefined;undefined;undefined;undefined;CC;newLine;5;1;1;5;false;1142
undefined;undefined;undefined;undefined;undefined;CC;whiteSpace;4;1;1;4;false;1439
undefined;undefined;undefined;undefined;undefined;US;whiteSpace;3;1;1;3;false;1227
