"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;10;1;false;887;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;5;1;false;799;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;10;1;false;1674;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;9;1;false;1261;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;4;1;false;847;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;7;1;false;1367;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;10;1;false;748;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;4;1;false;778;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;9;1;false;884;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;2;1;false;712;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;5;1;false;945;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;3;1;false;752;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;10;1;false;806;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;7;1;false;1496;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;4;1;false;2202;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;8;1;false;842;
"undefined";"undefined";"undefined";"undefined";4;7;2;1;4;1;false;831;
"undefined";"undefined";"undefined";"undefined";2;7;2;1;7;1;false;1429;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;4;1;false;1276;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;7;1;false;875;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;2;1;false;1332;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;1;1;true;986;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;2;1;false;879;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;8;1;false;1784;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;9;1;false;1015;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;10;1;false;959;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;2;1;false;790;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;6;1;false;1133;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;7;1;false;874;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;9;1;false;1007;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;9;1;false;1080;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;5;1;false;1213;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;4;1;false;1028;
"undefined";"undefined";"undefined";"undefined";2;7;2;1;6;1;false;1292;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;7;1;false;840;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;9;1;false;876;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;4;1;false;739;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;6;1;false;628;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;3;1;false;806;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;6;1;false;930;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;9;1;false;764;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;1;1;true;765;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;4;1;false;919;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;2;1;false;738;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;8;1;false;1188;
