IndirectionDepth;Ordering;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
4;Random;1;9;9;true;7500;
1;Random;1;9;9;true;5045;
2;Random;1;7;7;true;5428;
1;Random;1;3;3;true;1846;
4;Random;1;1;1;true;9081;
3;Random;1;0;0;true;4671;
4;Random;1;3;3;true;10816;
3;Random;1;9;9;true;7824;
4;Random;1;5;5;true;6541;
3;Random;1;8;8;true;5743;
2;Random;1;5;5;true;8117;
1;Random;1;2;2;true;2403;
1;Random;1;7;7;true;2105;
3;Random;1;0;0;true;4246;
1;Random;1;8;8;true;3034;
2;Random;1;3;3;true;2968;
4;Random;1;5;5;true;6890;
3;Random;1;8;8;true;4394;
2;Random;1;1;1;true;2600;
2;Random;1;2;2;true;2706;
1;Random;1;0;0;true;2736;
1;Random;1;5;5;true;1588;
4;Random;1;8;8;true;5592;
3;Random;1;4;4;true;4729;
2;Random;1;7;7;true;3153;
3;Random;1;7;7;true;4775;
3;Random;1;4;4;true;9434;
3;Random;1;2;2;true;4590;
3;Random;1;0;0;true;5590;
4;Random;1;2;2;true;5094;
1;Random;1;7;7;true;2548;
4;Random;1;9;9;true;5356;
1;Random;1;1;1;true;1583;
1;Random;1;1;1;true;1059;
4;Random;1;1;1;true;5737;
2;Random;1;4;4;true;2948;
4;Random;1;3;3;true;8081;
2;Random;1;9;9;true;3457;
2;Random;1;2;2;true;2467;
2;Random;1;3;3;true;2842;
