Age;Status;Studies;YearsOfExperience;impression;Format;Error_position;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds
undefined;undefined;undefined;undefined;undefined;Subquery;3;1;0;0;true;24684
undefined;undefined;undefined;undefined;undefined;With;1;1;0;0;true;9132
undefined;undefined;undefined;undefined;undefined;Subquery;3;1;0;0;true;16916
undefined;undefined;undefined;undefined;undefined;With;3;1;0;0;true;30050
undefined;undefined;undefined;undefined;undefined;Subquery;0;1;1;1;true;31847
undefined;undefined;undefined;undefined;undefined;With;4;1;0;0;true;22359
undefined;undefined;undefined;undefined;undefined;With;1;1;0;0;true;3992
undefined;undefined;undefined;undefined;undefined;Subquery;2;1;0;0;true;4329
undefined;undefined;undefined;undefined;undefined;With;2;1;0;0;true;7318
undefined;undefined;undefined;undefined;undefined;With;0;1;1;1;true;21985
undefined;undefined;undefined;undefined;undefined;With;2;1;0;0;true;6387
undefined;undefined;undefined;undefined;undefined;Subquery;1;1;0;0;true;23931
undefined;undefined;undefined;undefined;undefined;Subquery;1;1;0;0;true;22155
undefined;undefined;undefined;undefined;undefined;With;3;1;0;1;false;22580
undefined;undefined;undefined;undefined;undefined;Subquery;1;1;0;0;true;24554
undefined;undefined;undefined;undefined;undefined;Subquery;2;1;0;0;true;6900
undefined;undefined;undefined;undefined;undefined;With;4;1;0;0;true;17098
undefined;undefined;undefined;undefined;undefined;With;1;1;0;0;true;6673
undefined;undefined;undefined;undefined;undefined;With;0;1;1;1;true;17341
undefined;undefined;undefined;undefined;undefined;Subquery;4;1;0;0;true;16857
undefined;undefined;undefined;undefined;undefined;With;1;1;0;0;true;4862
undefined;undefined;undefined;undefined;undefined;With;0;1;1;1;true;18208
undefined;undefined;undefined;undefined;undefined;Subquery;4;1;0;0;true;13656
undefined;undefined;undefined;undefined;undefined;Subquery;2;1;0;0;true;6980
undefined;undefined;undefined;undefined;undefined;Subquery;4;1;0;0;true;12938
undefined;undefined;undefined;undefined;undefined;Subquery;1;1;0;0;true;14507
undefined;undefined;undefined;undefined;undefined;With;4;1;0;0;true;16946
undefined;undefined;undefined;undefined;undefined;With;0;1;1;1;true;22671
undefined;undefined;undefined;undefined;undefined;Subquery;4;1;0;0;true;23387
undefined;undefined;undefined;undefined;undefined;Subquery;4;1;0;0;true;18931
undefined;undefined;undefined;undefined;undefined;With;2;1;0;0;true;9684
undefined;undefined;undefined;undefined;undefined;With;2;1;0;0;true;7942
undefined;undefined;undefined;undefined;undefined;With;3;1;0;0;true;14137
undefined;undefined;undefined;undefined;undefined;Subquery;1;1;0;0;true;19745
undefined;undefined;undefined;undefined;undefined;Subquery;0;1;1;1;true;21134
undefined;undefined;undefined;undefined;undefined;With;2;1;0;0;true;6451
undefined;undefined;undefined;undefined;undefined;Subquery;0;1;1;1;true;14495
undefined;undefined;undefined;undefined;undefined;With;3;1;0;0;true;11084
undefined;undefined;undefined;undefined;undefined;With;3;1;0;0;true;12475
undefined;undefined;undefined;undefined;undefined;Subquery;3;1;0;0;true;9447
undefined;undefined;undefined;undefined;undefined;Subquery;2;1;0;0;true;4842
undefined;undefined;undefined;undefined;undefined;Subquery;2;1;0;0;true;3407
undefined;undefined;undefined;undefined;undefined;Subquery;0;1;1;1;true;15552
undefined;undefined;undefined;undefined;undefined;Subquery;3;1;0;0;true;8391
undefined;undefined;undefined;undefined;undefined;With;4;1;0;0;true;18050
undefined;undefined;undefined;undefined;undefined;Subquery;0;1;1;1;true;22596
undefined;undefined;undefined;undefined;undefined;Subquery;3;1;0;0;true;9972
undefined;undefined;undefined;undefined;undefined;With;0;1;1;1;true;21825
undefined;undefined;undefined;undefined;undefined;With;4;1;0;0;true;18250
undefined;undefined;undefined;undefined;undefined;With;1;1;0;0;true;4949
